node,type,incident_ids
ACFT,VEHICLE,"19780111000459A, 19990213001379A"
TAKEOFF,PHASE,"19780913017419I, 19800217031649I, 19800506012169A, 19820725041999I, 19840121015319I, 19840821046409A, 19860706034879A, 19870319012959I, 19870606018859A, 19920405008919A, 19930530020029I, 19950216008379I, 19960524045629A, 19970523014439I, 19970828026989A, 19991230042089A, 20010411006739I, 20060621012279A, 20070630826079I"
ENGINE,SYS,"19780427013859I, 19791128035159A, 19800217031649I, 19801116083749I, 19840121015319I, 19840821046409A, 19850418016709I, 19860706034879A, 19871211075169A, 19880527016939A, 19890725041869I, 19940818022409A, 19950216008379I, 19971226042729I, 19991230042089A, 20030620012809I, 20040925025079A, 20051009024969I, 20070630826079I"
WING,SYS,"19800217031649I, 19901101064289I"
FUEL TANK,SYS,"19800217031649I, 19880527016939A"
WING FUEL TANK SUMPS,SYS,19800217031649I
PREFLIGHT,PROCEDURE,"19790720021329A, 19800217031649I"
HELICOPTER,VEHICLE,"19790720021329A, 20000215010329A, 20010411006739I, 20051009024969I"
SLING LOAD,OPS,19790720021329A
LOAD,OPS,19790720021329A
IMPROPER PREFLIGHT,PROCEDURE,19790720021329A
NOSEWHEEL STEERING,SYS,19841214074599I
BRAKES,SYS,"19780402008409I, 19781108022239I, 19841214074599I"
2 AIRCRAFT,VEHICLE,19841214074599I
2,CARDINAL,19841214074599I
CIRCUIT BREAKER HYDRAULIC PUMP,SYS,19841214074599I
FORWARD CARGO DOOR,SYS,19860128014289I
AIRCRAFT,VEHICLE,"19780402008409I, 19781108022239I, 19790211002709A, 19790718019229I, 19840821046409A, 19841214074599I, 19860128014289I, 19860706034879A, 19870309039779I, 19890725041869I, 19930530020029I, 19940412011509I, 19950314029269I, 19960322013629I, 20010421009329I, 20020619014309A, 20030607012509A, 20040304003309I, 20050429009279I, 20070202001609A, 20070630826079I"
WARNING LIGHT,SYS,19860128014289I
MR. TIMOTHY ALLEN WELLS,PER,20000215010329A
"PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R",PER,20000215010329A
"BELL HELICOPTER MODEL BHT-47-G5, N4754R",VEHICLE,20000215010329A
BELL HELICOPTER MODEL BHT-47-G5,VEHICLE,20000215010329A
BELL,ORG,20000215010329A
N4754R,VEHICLE,20000215010329A
FORCED LANDING,PHASE,"19780509032859I, 19801116083749I, 19840821046409A, 19871027060859A"
ONE ENGINE,SYS,19801116083749I
ONE,CARDINAL,"19801116083749I, 19870606018859A, 20051009024969I"
ICE,PROB,"19801116083749I, 19840121015319I"
AUXILIARY FUEL SYSTEM,SYS,19801116083749I
PILOT,PER,"19780111000459A, 19781113027039I, 19791128035159A, 19801005072789I, 19821117066379I, 19850315007389A, 19850418016709I, 19860706034879A, 19861114075329I, 19870309039779I, 19870523018729A, 19871027060859A, 19911222062669I, 19930530020029I, 19950216008379I, 19960504009509A, 19970908038069A, 19990714022959I, 19991230042089A, 20000215010329A, 20010421009329I, 20030620012809I, 20050429009279I, 20051009024969I, 20060621012279A, 20060718018299I"
LOWER ALTITUDE,LOC,19850315007389A
ICING,PROB,19850315007389A
ALTIMETER,SYS,"19850315007389A, 19861114075329I"
RAY AIRPORT,FAC,20070630826079I
CLIMB,PHASE,20070630826079I
AIRCRAFT ENGINE,SYS,20070630826079I
PROBLEMS,PROB,"19870309039779I, 20070630826079I"
FUEL,OPS,"19780509032859I, 19791128035159A, 19800804037399A, 19860706034879A, 19880527016939A, 19900425011659A, 19940226003029A, 19950804028629A, 19980508008619A, 20040925025079A"
FERRY FLIGHT,FLIGHT,19900425011659A
LEFT PONTOON,SYS,19900425011659A
POND,LOC,19900425011659A
FUEL CAP,SYS,"19900425011659A, 19901101064289I, 19940226003029A"
POWER,OPS,"19780509032859I, 19850418016709I, 19860706034879A, 19871027060859A, 19940226003029A, 19950804028629A, 19951031041599A, 19980508008619A, 19991230042089A, 20070202001609A"
LOOSE COWLING,SYS,19820725041999I
COWLING,SYS,"19780427013859I, 19820725041999I, 19980616023109I"
LAND,LOC,19820725041999I
CRACKED WINDSHIELD,SYS,19820725041999I
DENTED STABILIZER,SYS,19820725041999I
DESCENT,PHASE,19940412011509I
FLIGHT MANUAL,OPS,19940412011509I
TRUCK WINDSHIELD,SYS,19940412011509I
TRUCK,VEHICLE,19940412011509I
GROUND,LOC,"19870523018729A, 19940412011509I"
NR2 ENGINE FIRE,PROB,19971226042729I
PASSENGERS,PER,"19890723054159I, 19971226042729I"
