c5_sources,node,count
19990213001379A,ACFT,5
19990213001379A,TAKE OFF,1
19850315007389A;19990213001379A,LOST CONTROL,2
19990213001379A,RAN INTO A DITCH,1
19990213001379A,STRUCK A TREE,1
19990213001379A,UNK,1
19800217031649I;19840821046409A;19860706034879A;19950216008379I;19960524045629A;19991230042089A;20060621012279A;20070630826079I,AFTER TAKEOFF,8
19800217031649I,ENGINE QUIT,1
19790720021329A,HELICOPTER,2
19790720021329A,SLING LOAD,1
19790720021329A,TREES,1
19790720021329A;19820725041999I;19840821046409A;19880527016939A;19940818022409A,CRASH,11
19790720021329A,IMPROPER PREFLIGHT,1
19860128014289I,FORWARD CARGO DOOR,1
19860128014289I;19870309039779I;19960322013629I,AIRCRAFT,5
19860128014289I,TOOK OFF,1
19860128014289I,OBJECTS,1
19860128014289I,DROPPED OUT,1
19860128014289I,WARNING LIGHT,1
19860128014289I,FAILED TO SEE,1
19781113027039I;19791128035159A;19801005072789I;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19930530020029I;19970908038069A;20030620012809I;20051009024969I,PILOT,23
19850315007389A,LOSE CONTROL,1
19850315007389A,ICING FORECAST,2
20030607012509A;20050429009279I;20070630826079I,(-23) AIRCRAFT,7
20070630826079I,RAY AIRPORT,1
20070630826079I,ENGINE PROBLEMS,1
19900425011659A,FERRY FLIGHT,4
19900425011659A,POND,1
19900425011659A,LEFT PONTOON SEPARATED LANDING IN A POND,1
19900425011659A,FUEL CAP NOT SECURED,1
19900425011659A,FUEL SIPHONED,1
19780427013859I;19840121015319I;19860530030499A;19860706034879A;19991230042089A,ENGINE,11
19991230042089A,CUTTING OUT,1
19991230042089A,NOT DEVELOPING ENOUGH POWER,1
19991230042089A,ENGINE CUTTING OUT AND NOT DEVELOPING ENOUGH POWER,1
19820725041999I,LOOSEN COWLING ON TAKEOFF,1
19820725041999I,COWLING CAME OFF ON RETURNING TO LAND,1
19820725041999I,CRACKED WINDSHIELD,1
19820725041999I,DENTED STABILIZER,1
19940412011509I,FLIGHT MANUAL,3
19940412011509I,STRUCK TRUCK WINDSHIELD ON GROUND,1
19940412011509I,GROUND,1
19940412011509I,LANDED SAFELY,1
19971226042729I,NR2,3
19971226042729I,ENGINE FIRE,1
19971226042729I,CUT OFF,1
19971226042729I,SMOKE CLEARED,1
19950619021589I,MAIN GEAR,1
19950619021589I,AIRPORT,1
19860530030499A,HOT OIL SMELL,1
19860530030499A,FAILED TO REMOVE AIR INTAKE PLUGS,1
19860530030499A,NOSED OVER IN FURROWS PLOWED,1
19821117066379I,UNABLE TO PRESSURIZE,1
19821117066379I,DOOR SLIGHTLY OPEN,1
19821117066379I,DEPRESSURIZED,1
19821117066379I,DOOR OPENED FULLY,1
19821117066379I,STOPPED BY FUSELAGE,1
19810303007119A,VEERED OFF RUNWAY,1
19810303007119A,HITTED PARKED AIRPLANE,1
19810303007119A,NEWLY INSTALLED CARPETING,1
19810303007119A,RUDDER PEDAL,1
19860706034879A;19980508008619A;20070202001609A,LOST POWER,3
19860706034879A,AIRCRAFT FLIPPED,1
19860706034879A,TANKS,1
19860706034879A,FUEL,1
19791128035159A;19860706034879A,WATER IN FUEL,2
19840121015319I,DRIFTED OFF THE EDGE,1
19840121015319I,FOUND SOLID ICE IN CARBURETOR BOWL,1
19800506012169A;19940226003029A;19940818022409A;19950527014439A,LAST CONTROL,9
19950527014439A,TOW RELEASE,1
19950527014439A,IMPACT,1
19950527014439A,CONNECT RIGHT AILERON,1
19960322013629I,FERRY,1
19951031041599A;19960322013629I,NOSE,3
19960322013629I,GEAR BLOCKED DOWN,1
19790211002709A,FAIL TO LIFTOFF,2
19790211002709A,RAN OFF END INTO SNOW BANK,1
19790211002709A,FROST ON AIRFRAME,1
19850418016709I,ENGINE POWER FAILURE,2
19850418016709I,AEROBATICS,1
19791128035159A;19850418016709I,LANDED IN FIELD,2
19850418016709I,FUEL TANKS,1
19781113027039I;20050429009279I,TAXIWAY,2
19781113027039I,UNMARKED DITCH,1
19870606018859A;19911222062669I,ABORTED TAKEOFF,6
19870606018859A,GROUND LOOPED INTO A TREE,1
19870606018859A,UNABLE TO STAY AIRBORNE,1
19870606018859A,MAG SWITCH,1
19870319012959I,RETURNED,1
19870319012959I,FOUND PIN WAS INSTALLED,1
20050429009279I,(-23) PILOT,1
19890723054159I,AFTER LANDING,1
19890723054159I,INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,1
19970523014439I,CARGO DOOR,1
19970523014439I,MR. BOWEN,1
19970523014439I,RUNWAY CONDITIONS,1
19970523014439I,STEVEN'S VILLAGE,1
19970908038069A,TIEDOWN CHAINS,6
19970908038069A,TAXI,1
19970908038069A,SKIDS,1
19970908038069A,RAMP,1
19970908038069A,PERSON,1
19970908038069A,WIND,1
19760606015529A,GLIDER,1
19760606015529A,RELEASE,1
20051009024969I,HELICOPTER ENGINE POWER CHECKS,2
20051009024969I,CREWMEMBER,1
19930530020029I,TAKEOFF ROLL,1
19930530020029I,PILOTS SEAT,1
19980508008619A,ENROUTE,1
19980508008619A,NOSED OVER LANDING,1
19980508008619A,SLOPE,1
19980508008619A,NO EVIDENCE OF FUEL,1
19980508008619A,SCENE,1
19940818022409A,H71,1
19940818022409A,BAD OIL LEAK,1
19940818022409A,CRACKED ENGINE CASE,1
19920405008919A,ATTEMPTED TAKEOFF,4
19920405008919A,2500 FT SOD STRIP,1
19920405008919A,HITTED TREES OFF END OF STRIP,1
19920405008919A,GUSTY NORTH WIND,1
19920405008919A,CRASHED,1
19840821046409A;19871027060859A,FORCED LANDING,2
19840821046409A,ENGINE FAILURE,1
19950216008379I,N1549U,2
19950216008379I,BETHEL AIRPORT,1
19850525020799A,ATTEMPTED DOWNWIND GO AROUND,1
19850525020799A,3 MILES FROM AIRPORT,1
19861114075329I,ENTERED TCA,1
19861114075329I,MALFUNCTIONING ENCODING ALTIMETER,1
19960524045629A,BAGGAGE DOOR,1
19960524045629A,BAGGAGE,1
19960524045629A,HIT LEFT PROP,1
19960524045629A,BELWO UMC,1
19960524045629A,LANDED ON SEA ICE,2
19960524045629A,SEA ICE,1
19960524045629A,DOOR,1
19960524045629A,WILL FLY,1
19871211075169A,ROUTINE ENGINE,1
19871211075169A,CITY STREET,1
19871027060859A,PICTOR,5
19871027060859A,PILOT ERROR,1
19871027060859A,ELECTRIC POWER LOST,1
19871027060859A,STRUCK POWER POLE,1
19871027060859A,CIRCUIT BREAKER OFF,1
19980616023109I,ENGINE COWLING SEPERATED,3
19980616023109I,LOUD BANG AND SHUDDER ENROUTE,1
19980616023109I,SPARKS AT ROTOR,1
19980616023109I,COWL NOT FASTENED,1
19791128035159A;19910710026989A,CLIMBOUT,4
19910710026989A,NO LOCKING PINS IN SEAT TRACK,1
19910710026989A,SEAT PIN BENT,1
19910710026989A,BELT NOT FASTENED,1
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL,1
19800506012169A,FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN,1
19791128035159A,LANDED TO WAIT OUT RAIN SHOWER,1
20060621012279A,AT ROTATION,2
20060621012279A,SEAT SLID BACK,2
20060621012279A,OVERROTATE,1
19780402008409I,TAXIING AIRCRAFT,1
19780402008409I,WORN OUT & INEFFECTIVE BRAKES,1
19890725041869I,ENGINE START,3
19890725041869I,PILOTS SEAT WENT TO FULL AFT POSITION,1
19890725041869I,PUSH THROTTLE IN FULL,1
19890725041869I,AIRCRAFT COLLIDED WITH PARKED PLANE,1
19911222062669I,AFTER LIFTOFF,1
19911222062669I,LANDED ON SAME RUNWAY,1
19911222062669I,RAN OFF SIDE OF RUNWAY,1
20030607012509A,BARTLESVILLE MUNICIPAL AIRPORT (BVO),1
